epoch,acc,loss,val_acc,val_loss
0,0.9616494178771973,0.10110126435756683,0.5147435665130615,1.4391168355941772
1,0.9862194061279297,0.04010634869337082,0.9952991604804993,0.010953964665532112
2,0.9922016859054565,0.023425184190273285,0.9985042810440063,0.0069776601158082485
3,0.9941779971122742,0.019231189042329788,0.9818376302719116,0.05707532539963722
4,0.9949791431427002,0.016172783449292183,0.9547008275985718,0.12329888343811035
5,0.9966883659362793,0.010793919675052166,0.9899572730064392,0.026112733408808708
6,0.995780348777771,0.012502393685281277,0.9965811967849731,0.013667409308254719
7,0.9972225427627563,0.011246801353991032,0.946794867515564,0.1524267941713333
8,0.9973827600479126,0.007549494970589876,0.9884615540504456,0.03444742411375046
9,0.9976498484611511,0.007327629718929529,0.9388889074325562,0.2243354171514511
10,0.9975429773330688,0.008888227865099907,0.9985042810440063,0.005463100504130125
11,0.9977032542228699,0.007281806785613298,0.9948717951774597,0.01928078569471836
12,0.9979702830314636,0.006612497381865978,0.9961538314819336,0.012794511392712593
13,0.9976498484611511,0.007318780291825533,0.9935897588729858,0.020301513373851776
14,0.9985578656196594,0.004920443519949913,0.9551281929016113,0.14369133114814758
15,0.9981839656829834,0.005702548194676638,0.9972222447395325,0.009936124086380005
16,0.9983441829681396,0.004881726112216711,0.9982905983924866,0.0058805192820727825
17,0.9987714886665344,0.004948837216943502,0.9301282167434692,0.276012122631073
18,0.9983975887298584,0.005849105305969715,0.9985042810440063,0.003948664758354425
19,0.9986112713813782,0.0050421650521457195,0.9933760762214661,0.023657875135540962
20,0.9985578656196594,0.005136446096003056,0.9882478713989258,0.037271883338689804
21,0.9977032542228699,0.006790837738662958,0.9972222447395325,0.011285070329904556
22,0.9987714886665344,0.0049235401675105095,0.9886752367019653,0.03526190295815468
23,0.9985044598579407,0.004755647387355566,0.9987179636955261,0.0035298157017678022
24,0.9991987943649292,0.0025012039113789797,0.9534187912940979,0.19672241806983948
