epoch,acc,categorical_accuracy,loss,val_acc,val_categorical_accuracy,val_loss
0,0.8929629921913147,0.11814814805984497,0.3741459548473358,0.15727002918720245,0.0,2.9483630657196045
1,0.9681481719017029,0.12296296656131744,0.10929946601390839,0.15727002918720245,0.0,2.8908071517944336
2,0.979629635810852,0.12111110985279083,0.07084782421588898,0.15727002918720245,0.0,4.121671676635742
3,0.9825925827026367,0.12222222238779068,0.05876085162162781,0.15727002918720245,0.0,6.0572123527526855
4,0.9929629564285278,0.12148147821426392,0.02983034960925579,0.1602373868227005,0.0,6.252310276031494
5,0.9888888597488403,0.11999999731779099,0.0346505306661129,0.2952522337436676,0.011869436129927635,3.1547369956970215
6,0.9925925731658936,0.12222222238779068,0.024917565286159515,0.919881284236908,0.13649851083755493,0.23913812637329102
7,0.9907407164573669,0.12111110985279083,0.026562677696347237,0.9777448177337646,0.11275964230298996,0.062364209443330765
8,0.9937037229537964,0.12148147821426392,0.0181549321860075,0.9436202049255371,0.10979228466749191,0.19842329621315002
9,0.9918518662452698,0.1218518540263176,0.02755320817232132,0.6023738980293274,0.03264094889163971,2.489936351776123
10,0.995555579662323,0.12111110985279083,0.01937820576131344,0.9465875625610352,0.11127596348524094,0.21540184319019318
11,0.996666669845581,0.12111110985279083,0.013263882137835026,0.562314510345459,0.020771512761712074,2.9971790313720703
12,0.9962962865829468,0.12111110985279083,0.011174621060490608,0.8931750655174255,0.0385756678879261,0.39717352390289307
13,0.9959259033203125,0.12148147821426392,0.012409893795847893,0.49554896354675293,0.0,3.323514223098755
14,0.9962962865829468,0.12111110985279083,0.009515202604234219,0.9317507147789001,0.10979228466749191,0.19378840923309326
15,0.9977777600288391,0.1218518540263176,0.013200267218053341,0.7492581605911255,0.17804154753684998,1.2269291877746582
16,0.9948148131370544,0.12111110985279083,0.015454627573490143,0.3086053431034088,0.0,5.811570167541504
17,0.9974074363708496,0.12111110985279083,0.01064971461892128,0.783382773399353,0.07121662050485611,0.814612865447998
18,0.9974074363708496,0.12111110985279083,0.012105821631848812,0.9272996783256531,0.10385756939649582,0.2520630955696106
19,0.9970370531082153,0.1218518540263176,0.01258139032870531,0.9955489635467529,0.11127596348524094,0.010488529689610004
20,0.9944444298744202,0.12074074149131775,0.012406900525093079,0.9896142482757568,0.10534124821424484,0.029325071722269058
21,0.9985185265541077,0.12074074149131775,0.004711097106337547,0.4302670657634735,0.0,4.649847030639648
22,0.9977777600288391,0.12037037312984467,0.005836276803165674,0.9510385990142822,0.11127596348524094,0.22149665653705597
23,0.9974074363708496,0.1218518540263176,0.005541061982512474,0.9569733142852783,0.07863501459360123,0.13384471833705902
24,0.996666669845581,0.12074074149131775,0.008989092893898487,0.8531157374382019,0.035608310252428055,0.6448721289634705
25,0.9996296167373657,0.12111110985279083,0.001858354895375669,0.35014837980270386,0.0,4.951270580291748
26,0.9981481432914734,0.12111110985279083,0.005859373137354851,0.7507418394088745,0.054896142333745956,1.2699615955352783
27,0.9988889098167419,0.12111110985279083,0.0030082741286605597,0.9451038837432861,0.10385756939649582,0.17395757138729095
28,0.9974074363708496,0.12111110985279083,0.007595387287437916,0.998516321182251,0.11127596348524094,0.005344022065401077
29,0.9988889098167419,0.12074074149131775,0.006352888885885477,0.8175074458122253,0.04154302552342415,0.8184256553649902
